Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Topup,Current,2023-05-01 10:47:34,2023-05-01 10:49:54,Top-up by *****,50.00,0.00,GBP,COMPLETED,50.00
Card Payment,Current,2023-05-01 15:36:20,2023-05-02 10:35:01,Asda,-1.95,0.00,GBP,COMPLETED,33.00
Card Payment,Current,2023-05-01 15:54:26,2023-05-02 10:35:01,Asda,-15.05,0.00,GBP,COMPLETED,34.95
Card Payment,Current,2023-05-02 08:48:35,2023-05-03 10:31:43,Arriva,-2.00,0.00,GBP,COMPLETED,31.00
Card Payment,Current,2023-05-02 13:00:49,2023-05-03 11:06:17,Arriva,-1.30,0.00,GBP,COMPLETED,29.70
Card Payment,Current,2023-05-02 16:08:51,2023-05-03 11:18:03,Stagecoach,-1.90,0.00,GBP,COMPLETED,27.80
Card Payment,Current,2023-05-02 20:49:57,2023-05-04 10:39:45,Premier Inn,-1.00,0.00,GBP,COMPLETED,26.80
Card Payment,Current,2023-05-03 01:00:00,2023-05-04 13:55:01,Transport for London,-6.10,0.00,GBP,COMPLETED,-2.14
Card Payment,Current,2023-05-03 14:27:22,2023-05-04 13:49:36,McDonald's,-5.79,0.00,GBP,COMPLETED,9.81
Card Payment,Current,2023-05-03 15:05:22,2023-05-04 10:55:59,Rising Sun,-5.70,0.00,GBP,COMPLETED,21.10
Card Payment,Current,2023-05-03 16:14:39,2023-05-04 13:51:16,The Sir John Oldcastle,-5.85,0.00,GBP,COMPLETED,3.96
Card Payment,Current,2023-05-03 17:12:32,2023-05-04 10:59:18,Tesco,-5.50,0.00,GBP,COMPLETED,15.60
Topup,Current,2023-05-05 14:52:44,2023-05-05 14:53:44,Top-up by *4895,50.00,0.00,GBP,COMPLETED,47.86
Card Payment,Current,2023-05-05 15:28:14,2023-05-06 15:13:10,Shawarma Grill,-6.00,0.00,GBP,COMPLETED,41.86
Card Payment,Current,2023-05-06 06:25:13,,Transport for London,-6.10,0.00,GBP,REVERTED,
Card Payment,Current,2023-05-06 15:59:41,2023-05-07 15:22:06,Sainsbury's,-12.95,0.00,GBP,COMPLETED,28.91
Card Payment,Current,2023-05-07 02:34:09,2023-05-07 16:04:16,Transport for London,-15.20,0.00,GBP,COMPLETED,13.71
Card Payment,Current,2023-05-08 16:03:10,2023-05-09 14:15:09,Marks & Spencer,-5.00,0.00,GBP,COMPLETED,4.21
Card Payment,Current,2023-05-08 17:18:52,2023-05-09 13:16:12,Big Easy,-4.50,0.00,GBP,COMPLETED,9.21
Topup,Current,2023-05-10 19:51:58,2023-05-10 19:52:55,Top-up by *4895,32.79,0.00,GBP,COMPLETED,37.00
Card Payment,Current,2023-05-10 19:54:09,2023-05-11 10:48:07,EE,-27.00,0.00,GBP,COMPLETED,10.00
Card Payment,Current,2023-05-12 16:46:07,2023-05-13 11:57:30,Stagecoach,-2.00,0.00,GBP,COMPLETED,6.00
Card Payment,Current,2023-05-12 20:26:51,2023-05-13 11:57:30,Stagecoach,-2.00,0.00,GBP,COMPLETED,8.00
Card Payment,Current,2023-05-13 22:05:33,2023-05-14 11:00:28,Stagecoach,-2.00,0.00,GBP,COMPLETED,4.00
Card Payment,Current,2023-05-15 23:09:19,2023-05-16 10:28:37,Stagecoach,-2.00,0.00,GBP,COMPLETED,0.00
Card Payment,Current,2023-05-16 00:04:36,2023-05-16 10:28:37,Stagecoach,-2.00,0.00,GBP,COMPLETED,2.00
Topup,Current,2023-05-26 15:40:00,2023-05-26 15:40:43,Top-up by *4895,10.00,0.00,GBP,COMPLETED,10.00
Card Payment,Current,2023-05-27 00:59:26,2023-05-28 05:00:48,Stagecoach,-2.00,0.00,GBP,COMPLETED,8.00
Card Payment,Current,2023-06-02 17:44:55,2023-06-03 11:52:48,Arriva,-2.00,0.00,GBP,COMPLETED,6.00
Card Payment,Current,2023-06-03 02:41:26,2023-06-04 06:03:38,Stagecoach,-2.00,0.00,GBP,COMPLETED,4.00
Card Payment,Current,2023-06-04 00:21:00,2023-06-05 06:11:37,Stagecoach,-2.00,0.00,GBP,COMPLETED,2.00
Card Payment,Current,2023-06-04 06:27:19,2023-06-05 06:11:37,Stagecoach,-2.00,0.00,GBP,COMPLETED,0.00
Topup,Current,2023-06-10 09:42:45,2023-06-10 09:42:52,Top-up by *4895,30.00,0.00,GBP,COMPLETED,30.00
Card Payment,Current,2023-06-10 09:46:23,2023-06-11 02:35:16,EE,-18.00,0.00,GBP,COMPLETED,12.00
Card Payment,Current,2023-06-13 17:39:20,2023-06-14 05:59:46,Arriva,-2.00,0.00,GBP,COMPLETED,10.00
Card Payment,Current,2023-06-14 08:01:41,2023-06-15 04:24:06,Stagecoach,-2.00,0.00,GBP,COMPLETED,8.00
Card Payment,Current,2023-06-17 17:55:42,2023-06-18 05:04:27,Stagecoach,-2.00,0.00,GBP,COMPLETED,6.00
Card Payment,Current,2023-06-18 08:34:31,2023-06-19 06:15:14,Stagecoach,-2.00,0.00,GBP,COMPLETED,4.00
Card Payment,Current,2023-06-20 23:38:00,2023-06-21 06:13:55,Stagecoach,-2.00,0.00,GBP,COMPLETED,2.00
